room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,instant_bookable,review_scores_rating,bedrooms,beds,log_price,,,
Private room,2,1,moderate,1,t,96,1,1,4.382026635,,,
Private room,2,1,strict,1,t,96,1,1,4.828313737,,,
Private room,1,1,strict,1,f,84,1,1,3.912023005,,,
Entire home/apt,2,1,strict,1,f,100,1,1,4.744932128,,,
Private room,2,1,strict,1,t,96,1,1,4.682131227,,,
Entire home/apt,5,2,strict,1,t,96,2,2,5.521460918,,,
Shared room,4,1,moderate,1,f,96,1,1,4.787491743,,,
Private room,8,1,moderate,1,t,92,1,7,4.317488114,,,
Entire home/apt,4,1.5,moderate,1,f,95,2,2,4.997212274,,,
Entire home/apt,2,1,flexible,0,t,80,1,1,5.783825182,,,
Entire home/apt,2,1,flexible,0,f,96,1,1,5.521460918,,,
Entire home/apt,2,1,moderate,1,f,96,1,1,5.010635294,,,
Private room,1,1,flexible,0,f,96,1,1,4.007333185,,,
Private room,2,1,flexible,0,f,96,1,1,3.555348061,,,
Private room,2,1,strict,1,t,88,1,1,4.007333185,,,
Private room,2,1,strict,0,f,96,1,1,4.158883083,,,
Entire home/apt,2,1,flexible,1,f,96,1,1,4.753590191,,,
Entire home/apt,6,2,flexible,1,t,97,3,3,6.620073207,,,
Entire home/apt,2,1,flexible,1,f,96,1,1,4.828313737,,,
Private room,2,1,flexible,1,f,100,1,1,4.779123493,,,
Entire home/apt,5,1,strict,1,f,100,0,2,4.744932128,,,
Entire home/apt,2,1,strict,1,f,94,1,1,4.682131227,,,
Entire home/apt,2,1,strict,1,f,80,1,1,4.94875989,,,
Private room,2,1,strict,1,f,100,3,1,3.688879454,,,
Entire home/apt,4,1,strict,1,f,93,2,2,5.857933154,,,
Entire home/apt,6,1,strict,1,f,100,2,4,4.828313737,,,
Private room,2,1,flexible,0,f,96,1,1,4.382026635,,,
Entire home/apt,9,2.5,flexible,0,f,96,4,4,6.907755279,,,
Private room,2,1.5,flexible,0,f,96,1,1,6.214608098,,,
Entire home/apt,1,1,flexible,0,f,96,0,1,4.700480366,,,
Entire home/apt,3,1,moderate,1,f,100,1,1,4.49980967,,,
Entire home/apt,5,1,flexible,1,t,96,2,3,5.517452896,,,
Entire home/apt,3,1,moderate,1,f,100,1,1,4.691347882,,,
Entire home/apt,6,2,strict,1,t,89,2,2,4.779123493,,,
Entire home/apt,2,1,flexible,1,f,100,0,1,4.49980967,,,
Entire home/apt,2,1,moderate,0,f,96,1,1,5.010635294,,,
Entire home/apt,2,1,flexible,1,f,96,1,1,4.605170186,,,
Private room,2,1,strict,1,f,87,1,1,3.80666249,,,
Private room,2,1,flexible,0,f,96,1,1,5.010635294,,,
Entire home/apt,2,2,strict,1,f,100,1,1,5.164785974,,,
Private room,2,1,moderate,1,f,100,2,2,4.700480366,,,
Private room,1,1,flexible,1,f,80,1,1,3.80666249,,,
Private room,2,1,moderate,0,f,96,1,1,4.382026635,,,
Entire home/apt,6,1,flexible,1,f,96,2,2,5.247024072,,,
Entire home/apt,3,1,flexible,1,f,100,1,1,5.857933154,,,
Entire home/apt,6,1,strict,1,t,96,1,6,4.574710979,,,
Private room,2,1,moderate,1,f,80,1,1,4.094344562,,,
Private room,1,1,flexible,0,f,100,1,1,5.010635294,,,
Private room,4,1,strict,1,t,93,1,2,4.859812404,,,
Entire home/apt,7,2,strict,1,t,84,2,3,5.087596335,,,
Entire home/apt,2,1,flexible,0,f,96,1,1,5.010635294,,,
Private room,4,1,flexible,1,t,92,1,2,3.871201011,,,
Entire home/apt,4,2.5,strict,1,f,100,2,2,5.560681631,,,
Private room,1,1,strict,1,f,95,1,1,3.80666249,,,
Private room,3,1,strict,1,f,80,1,1,4.094344562,,,
Entire home/apt,3,1,flexible,1,f,97,1,1,4.700480366,,,
Entire home/apt,5,2,flexible,1,t,96,2,2,4.700480366,,,
Entire home/apt,5,1,flexible,1,f,96,1,2,5.192956851,,,
Entire home/apt,2,1,flexible,1,t,96,1,1,4.248495242,,,
Entire home/apt,3,1,flexible,1,f,96,1,1,5.393627546,,,
Entire home/apt,1,1,flexible,1,f,100,0,1,4.248495242,,,
Private room,4,1,moderate,1,f,100,1,3,4.605170186,,,
Entire home/apt,2,1,strict,1,f,100,0,1,4.804021045,,,
Private room,2,1,strict,1,f,89,1,1,4.927253685,,,
Entire home/apt,2,1,flexible,1,f,80,0,1,4.17438727,,,
Private room,2,1,strict,1,t,99,1,1,4.007333185,,,
Private room,2,1,moderate,1,f,80,1,1,4.828313737,,,
Private room,2,1,moderate,1,f,94,1,1,3.688879454,,,
Entire home/apt,9,3,moderate,1,t,96,4,4,6.171700597,,,
Entire home/apt,6,2,strict,1,f,99,3,2,6.551080335,,,
Private room,1,1,flexible,0,t,96,1,1,4.553876892,,,
Private room,2,1,flexible,0,f,96,1,2,4.007333185,,,
Entire home/apt,2,1,flexible,1,f,96,1,1,5.521460918,,,
Entire home/apt,9,2,strict,1,f,96,2,5,5.293304825,,,
Private room,2,1,strict,1,f,85,1,1,4.094344562,,,
Private room,1,2,strict,1,f,96,1,1,4.17438727,,,
Entire home/apt,2,1,moderate,1,t,96,0,1,3.80666249,,,
Entire home/apt,3,1,strict,1,f,94,1,1,4.976733742,,,
Private room,1,1,strict,1,f,100,1,1,3.912023005,,,
Private room,2,1,strict,0,f,94,1,2,4.17438727,,,
Private room,2,1,flexible,0,t,100,1,1,4.060443011,,,
Entire home/apt,2,1,strict,1,f,88,1,1,4.905274778,,,
Entire home/apt,2,1,flexible,0,t,89,1,2,4.65396035,,,
Private room,1,1,strict,1,f,93,1,1,4.48863637,,,
Entire home/apt,8,2,flexible,1,f,90,3,3,5.634789603,,,
Entire home/apt,4,2,flexible,1,f,100,2,2,5.783825182,,,
Entire home/apt,2,1,flexible,0,f,96,0,1,6.109247583,,,
Private room,4,1,strict,0,f,89,1,2,4.317488114,,,
Entire home/apt,10,2,strict,1,f,96,3,4,5.937536205,,,
Entire home/apt,6,1,flexible,0,f,100,2,3,4.094344562,,,
Private room,2,1,moderate,1,f,99,1,1,4.382026635,,,
Entire home/apt,3,1,moderate,0,f,93,1,1,4.86753445,,,
Entire home/apt,3,1,moderate,1,f,98,2,2,5.068904202,,,
Entire home/apt,2,1,flexible,1,f,96,0,1,4.127134385,,,
Entire home/apt,7,1,strict,1,f,100,2,2,5.298317367,,,
Private room,2,1,strict,1,t,94,1,1,4.465908119,,,
Shared room,4,1.5,strict,1,f,100,1,4,3.465735903,,,
Private room,2,1,flexible,0,f,96,1,1,4.094344562,,,
Entire home/apt,2,1,flexible,0,t,80,1,1,4.96284463,,,
Entire home/apt,6,1.5,moderate,0,f,100,1,3,5.598421959,,,
Private room,3,1,strict,0,t,98,1,1,4.382026635,,,
Private room,3,1,strict,1,t,100,1,2,3.871201011,,,
Private room,1,1,flexible,1,f,80,1,1,3.496507561,,,
Private room,1,1,flexible,0,f,96,1,1,3.401197382,,,
Entire home/apt,4,2,strict,1,f,90,2,4,5.616771098,,,
Entire home/apt,1,1,flexible,0,f,96,1,1,5.521460918,,,
Entire home/apt,3,1,flexible,0,f,70,2,1,4.700480366,,,
Entire home/apt,3,1,moderate,1,f,99,1,1,4.934473933,,,
Entire home/apt,4,1,moderate,1,f,90,2,2,4.828313737,,,
Private room,2,1,strict,1,f,86,1,1,4.605170186,,,
Private room,2,1,moderate,0,f,90,0,1,4.48863637,,,
Private room,2,1,flexible,1,f,96,1,1,3.891820298,,,
Entire home/apt,2,1,flexible,0,f,96,1,1,7.150701458,,,
Entire home/apt,2,2,strict,0,t,100,1,1,6.745236349,,,
Private room,1,1,flexible,0,f,100,1,1,4.007333185,,,
Private room,2,1,flexible,0,f,96,1,1,4.343805422,,,
Private room,2,1,flexible,1,f,98,1,1,3.555348061,,,
Entire home/apt,7,2.5,strict,1,f,98,3,4,6.214608098,,,
Entire home/apt,4,2,strict,1,f,100,3,3,6.527957918,,,
Private room,2,1,strict,1,f,96,1,1,4.828313737,,,
Entire home/apt,4,1,strict,1,f,94,2,3,5.010635294,,,
Entire home/apt,2,1,strict,1,f,93,1,1,4.248495242,,,
Private room,2,1,moderate,1,t,96,1,1,4.605170186,,,
Entire home/apt,4,1,flexible,1,t,60,1,2,4.605170186,,,
Entire home/apt,2,1,moderate,1,f,100,1,1,5.541263545,,,
Private room,4,1,flexible,1,f,99,2,2,4.605170186,,,
Entire home/apt,2,1,moderate,0,f,100,1,1,5.081404365,,,
Entire home/apt,2,1,moderate,1,f,88,0,1,4.49980967,,,
Private room,1,1,strict,1,f,95,1,1,4.605170186,,,
Shared room,1,1,strict,1,f,100,1,1,2.944438979,,,
Private room,1,1,strict,1,f,70,1,1,4.394449155,,,
Entire home/apt,5,1,strict,1,f,97,2,3,5.575949103,,,
Private room,2,1,strict,1,f,91,1,1,4.8978398,,,
Entire home/apt,6,2,moderate,1,f,100,2,3,5.480638923,,,
Entire home/apt,2,1,strict,1,f,100,0,1,4.219507705,,,
Private room,2,1,flexible,0,f,96,1,1,4.442651256,,,
Private room,5,1,moderate,0,t,100,1,3,3.663561646,,,
Entire home/apt,2,1,strict,1,t,97,1,1,4.317488114,,,
Private room,2,1,strict,1,f,95,1,1,4.317488114,,,
Entire home/apt,7,1.5,moderate,1,f,96,3,5,5.697093487,,,
Entire home/apt,2,1,moderate,0,f,94,0,2,4.356708827,,,
Private room,2,1,flexible,1,f,96,1,1,4.317488114,,,
Entire home/apt,3,1,strict,1,f,100,1,1,5.164785974,,,
Entire home/apt,4,1,strict,1,f,98,0,2,4.976733742,,,
Entire home/apt,5,1,strict,1,f,95,3,3,5.010635294,,,
Entire home/apt,3,1,strict,1,f,100,1,1,4.941642423,,,
Entire home/apt,6,1,moderate,1,f,93,2,4,5.517452896,,,
Entire home/apt,2,1,flexible,1,f,96,0,1,5.857933154,,,
Entire home/apt,3,1,flexible,0,f,97,1,1,4.700480366,,,
Entire home/apt,3,1,strict,1,f,100,1,1,4.605170186,,,
Entire home/apt,2,1,flexible,0,f,93,1,1,4.442651256,,,
Entire home/apt,3,1,strict,1,t,92,1,2,4.59511985,,,
Private room,3,0.5,moderate,1,f,97,1,2,3.80666249,,,
Private room,1,1,strict,1,f,100,1,1,4.828313737,,,
Entire home/apt,6,1.5,strict,1,f,100,2,2,4.691347882,,,
Entire home/apt,4,2,flexible,1,f,80,2,2,5.521460918,,,
Private room,2,1,flexible,1,f,100,1,1,4.382026635,,,
Entire home/apt,6,1,strict,1,f,100,2,2,4.744932128,,,
Entire home/apt,3,1,flexible,0,f,100,2,2,5.164785974,,,
Entire home/apt,2,1,moderate,1,f,99,1,1,3.555348061,,,
Entire home/apt,6,1,moderate,1,t,97,2,4,5.616771098,,,
Entire home/apt,5,2,strict,1,f,100,3,3,5.272999559,,,
Entire home/apt,2,1,moderate,0,f,97,0,1,5.164785974,,,
Entire home/apt,4,1,strict,1,f,87,1,1,4.859812404,,,
Entire home/apt,2,1,strict,1,f,89,1,1,5.433722004,,,
Entire home/apt,2,1,flexible,1,f,100,1,1,4.59511985,,,
Private room,1,1,strict,1,f,94,1,1,4.49980967,,,
Private room,3,1,strict,1,t,75,1,2,4.553876892,,,
Entire home/apt,3,1,flexible,1,f,94,1,2,5.164785974,,,
Private room,2,1,strict,0,t,96,1,1,4.584967479,,,
Private room,3,1,flexible,0,f,87,1,1,4.59511985,,,
Entire home/apt,6,1.5,moderate,0,f,90,3,3,4.86753445,,,
Private room,2,1,moderate,1,t,60,1,1,4.189654742,,,
Entire home/apt,2,1,strict,0,f,93,1,1,4.787491743,,,
Private room,2,1,moderate,1,f,89,1,1,4.317488114,,,
Private room,2,1,flexible,1,t,98,1,1,4.605170186,,,
Entire home/apt,4,1,flexible,1,f,93,0,1,5.087596335,,,
Entire home/apt,8,3,strict,1,f,96,3,4,5.991464547,,,
Entire home/apt,5,1,flexible,1,f,96,2,2,6.261491684,,,
Private room,2,1,flexible,1,t,100,1,1,4.382026635,,,
Entire home/apt,6,3,strict,1,f,99,3,3,5.978885765,,,
Private room,2,1,moderate,1,f,95,1,1,4.828313737,,,
Private room,3,1,strict,1,f,96,1,2,3.610917913,,,
Entire home/apt,2,1,moderate,0,f,100,1,1,5.010635294,,,
Private room,2,1.5,moderate,1,f,100,1,1,4.127134385,,,
Entire home/apt,4,1,moderate,1,f,93,2,2,5.010635294,,,
Entire home/apt,6,1.5,moderate,0,f,96,3,4,4.634728988,,,
Entire home/apt,4,1.5,moderate,1,f,100,2,2,5.220355825,,,
Entire home/apt,5,2,moderate,1,f,100,2,3,5.963579344,,,
Private room,2,2,strict,0,f,93,1,1,3.912023005,,,
Private room,2,1,moderate,1,f,100,1,1,5.272999559,,,
Private room,2,1,strict,1,f,91,1,1,4.248495242,,,
Shared room,2,1,strict,0,f,96,1,1,4.828313737,,,
Entire home/apt,2,1,strict,1,f,93,0,2,4.406719247,,,
Entire home/apt,2,1,moderate,0,f,92,0,1,4.49980967,,,
Private room,1,1,strict,1,f,100,1,1,4.442651256,,,
Entire home/apt,2,1,strict,0,f,100,1,1,5.298317367,,,
Private room,4,1,flexible,1,f,96,1,2,4.17438727,,,
Private room,2,1,flexible,1,t,96,1,1,4.691347882,,,
Entire home/apt,6,2.5,moderate,1,f,100,3,3,6.131226489,,,
Entire home/apt,6,2.5,strict,1,f,96,3,4,5.953243334,,,
Entire home/apt,8,2,strict,1,f,80,1,2,5.783825182,,,
Private room,1,1.5,flexible,0,t,90,1,1,3.36729583,,,
Private room,2,1,flexible,1,f,80,1,1,3.688879454,,,
Entire home/apt,6,1.5,strict,0,f,100,2,3,6.214608098,,,
Private room,2,2,moderate,1,f,97,1,1,4.382026635,,,
Private room,2,2,strict,1,f,93,1,1,4.094344562,,,
Private room,2,2,flexible,1,t,100,1,1,5.135798437,,,
Entire home/apt,4,1,moderate,1,t,98,1,4,4.828313737,,,
Private room,2,1,strict,1,f,96,1,1,4.65396035,,,
Entire home/apt,6,2,flexible,1,f,96,3,4,5.953243334,,,
Entire home/apt,2,1,flexible,0,f,100,0,1,5.164785974,,,
Private room,2,1,strict,1,f,95,1,1,4.17438727,,,
Entire home/apt,2,1,flexible,0,f,100,1,1,4.553876892,,,
Entire home/apt,4,1,moderate,1,f,97,1,2,5.379897354,,,
Entire home/apt,2,1,strict,1,f,99,1,1,5.521460918,,,
Entire home/apt,4,2,moderate,1,f,99,2,3,5.686975356,,,
Private room,1,1,moderate,1,t,100,1,1,4.007333185,,,
Entire home/apt,10,3,strict,1,f,93,4,5,5.991464547,,,
Entire home/apt,4,1,moderate,1,f,91,1,2,4.418840608,,,
Private room,2,1,flexible,0,f,20,1,1,3.828641396,,,
Private room,1,1,strict,0,t,91,1,1,3.761200116,,,
Entire home/apt,4,2,strict,1,f,98,2,2,5.666426688,,,
Entire home/apt,4,1,moderate,1,f,96,1,2,5.616771098,,,
Private room,2,1,flexible,0,f,87,1,1,3.912023005,,,
Entire home/apt,2,1,strict,0,f,96,1,1,6.214608098,,,
Private room,2,1,moderate,1,t,76,1,1,4.077537444,,,
Entire home/apt,2,1,strict,1,f,95,1,1,5.288267031,,,
Private room,1,1,flexible,0,f,96,1,1,5.164785974,,,
Private room,2,1,strict,1,t,89,1,1,3.737669618,,,
Private room,2,1,strict,1,f,98,1,1,4.317488114,,,
Entire home/apt,2,1,moderate,1,f,80,0,1,5.883322388,,,
Private room,2,1,strict,1,t,100,1,1,4.382026635,,,
Entire home/apt,4,1,strict,1,f,93,1,2,5.003946306,,,
Entire home/apt,4,1,strict,1,f,94,1,3,4.927253685,,,
Entire home/apt,2,1,strict,1,t,94,1,1,4.382026635,,,
Private room,2,1,strict,0,f,95,1,1,4.48863637,,,
Private room,3,1,flexible,0,t,92,1,2,3.871201011,,,
Entire home/apt,2,1,moderate,0,f,91,0,1,4.779123493,,,
Entire home/apt,10,4.5,flexible,1,t,96,5,5,4.521788577,,,
Entire home/apt,2,1,strict,1,f,90,0,2,4.59511985,,,
Entire home/apt,4,2,strict,0,t,96,2,2,6.907755279,,,
Private room,2,5,strict,0,f,96,1,5,5.220355825,,,
Private room,2,1,flexible,0,f,100,1,1,4.787491743,,,
Entire home/apt,2,1,flexible,1,f,96,0,1,4.934473933,,,
Entire home/apt,5,1,strict,1,t,100,1,3,5.33753808,,,
Entire home/apt,2,1,moderate,1,f,96,1,1,5.192956851,,,
Private room,2,1,strict,0,f,100,1,1,4.828313737,,,
Shared room,1,2,strict,0,t,96,1,1,3.912023005,,,
Entire home/apt,6,2.5,strict,1,f,100,3,3,5.187385806,,,
Entire home/apt,2,1,moderate,1,f,80,1,1,5.521460918,,,
Entire home/apt,2,1,strict,0,f,93,1,1,3.951243719,,,
Entire home/apt,2,1,moderate,1,f,96,0,1,5.220355825,,,
Entire home/apt,2,1,strict,1,t,100,0,1,4.477336814,,,
Entire home/apt,4,1,strict,0,f,100,1,2,7.003065459,,,
Entire home/apt,5,2,moderate,1,t,100,3,3,5.521460918,,,
Entire home/apt,2,1,strict,1,t,96,1,1,4.828313737,,,
Private room,2,1,strict,1,t,92,1,1,4.17438727,,,
Entire home/apt,4,1,strict,1,t,97,1,2,4.634728988,,,
Private room,2,1.5,flexible,1,t,80,1,2,4.442651256,,,
Entire home/apt,4,1,strict,1,t,92,1,2,4.905274778,,,
Entire home/apt,3,1,moderate,0,f,97,1,1,4.905274778,,,
Entire home/apt,2,1,strict,1,f,98,0,1,4.17438727,,,
Private room,4,1,flexible,0,t,96,1,2,4.094344562,,,
Entire home/apt,1,1,flexible,0,f,96,1,1,4.248495242,,,
Entire home/apt,4,1,flexible,1,f,90,2,2,5.010635294,,,
Entire home/apt,2,1,strict,1,t,90,0,1,4.369447852,,,
Entire home/apt,2,1,flexible,1,f,92,0,1,4.59511985,,,
Private room,4,1,moderate,1,t,89,1,3,4.828313737,,,
Entire home/apt,16,2,strict,0,f,87,2,3,5.736572297,,,
Entire home/apt,2,1,moderate,1,f,100,0,1,5.043425117,,,
Entire home/apt,4,1,strict,1,f,100,1,2,5.129898715,,,
Private room,2,1,flexible,0,f,96,1,1,5.192956851,,,
Entire home/apt,2,1,moderate,1,t,85,0,1,4.624972813,,,
Private room,2,1,moderate,1,f,96,1,1,4.859812404,,,
Private room,1,1,flexible,0,f,90,1,1,3.401197382,,,
Entire home/apt,4,2,flexible,0,f,96,3,4,5.991464547,,,
Entire home/apt,3,1,strict,1,f,96,1,2,4.859812404,,,
Private room,1,1,flexible,0,t,96,1,1,4.976733742,,,
Entire home/apt,4,1,flexible,0,f,90,1,4,4.700480366,,,
Private room,2,0,moderate,1,f,88,1,1,3.555348061,,,
Entire home/apt,8,2,strict,1,f,96,3,4,5.926926026,,,
Entire home/apt,6,2.5,strict,0,f,96,2,4,6.684611728,,,
Private room,2,1,flexible,1,f,100,1,1,4.59511985,,,
Entire home/apt,2,1,strict,0,t,96,1,1,5.736572297,,,
Private room,2,1,strict,1,f,94,1,1,4.442651256,,,
Entire home/apt,2,1,strict,1,f,89,0,1,4.442651256,,,
Private room,2,1,strict,1,t,90,1,1,5.192956851,,,
Entire home/apt,4,1,flexible,0,f,80,2,2,5.192956851,,,
Entire home/apt,3,1,moderate,1,f,99,1,1,5.669880923,,,
Entire home/apt,5,1,moderate,1,f,100,2,2,5.926926026,,,
Entire home/apt,5,2,strict,1,f,96,2,1,5.272999559,,,
Private room,1,1,moderate,1,t,100,1,1,4.442651256,,,
Private room,1,1,moderate,0,f,100,1,1,4.060443011,,,
Entire home/apt,2,1,moderate,1,t,100,0,1,4.442651256,,,
Entire home/apt,2,1,strict,1,f,96,1,1,5.135798437,,,
Entire home/apt,2,1,flexible,1,t,100,1,1,4.787491743,,,
Entire home/apt,2,1,strict,1,f,98,1,1,5.075173815,,,
Entire home/apt,2,1,flexible,0,f,80,0,1,4.605170186,,,
Private room,2,1.5,flexible,1,f,94,1,1,4.700480366,,,
Private room,2,1,moderate,1,t,92,1,1,3.951243719,,,
Private room,2,1,moderate,1,f,98,1,1,4.709530201,,,
Private room,4,1,moderate,0,f,94,1,1,4.49980967,,,
Entire home/apt,4,1,strict,1,f,85,1,2,4.691347882,,,
Shared room,7,1,strict,1,f,100,1,2,4.007333185,,,
Entire home/apt,2,1,strict,1,f,91,1,1,4.543294782,,,
Entire home/apt,2,1,strict,1,f,93,0,1,4.744932128,,,
Entire home/apt,4,1,moderate,1,f,100,0,2,4.634728988,,,
Private room,1,1,strict,1,f,96,1,1,3.36729583,,,
Entire home/apt,8,4,moderate,1,f,98,4,4,6.856461985,,,
Entire home/apt,2,1,strict,0,f,96,0,1,4.605170186,,,
Private room,2,1,strict,1,f,96,1,1,5.220355825,,,
Entire home/apt,1,1,strict,1,t,96,1,1,5.075173815,,,
Entire home/apt,3,1,strict,1,f,95,1,1,4.17438727,,,
Entire home/apt,2,1,flexible,1,t,96,0,1,3.36729583,,,
Entire home/apt,6,1,strict,1,f,60,2,3,5.616771098,,,
Entire home/apt,3,1,flexible,1,t,100,1,2,4.094344562,,,
Entire home/apt,4,1,moderate,1,f,94,1,1,4.59511985,,,
Entire home/apt,8,1.5,strict,1,f,96,3,4,5.480638923,,,
Private room,2,4,strict,0,f,94,1,1,4.248495242,,,
Entire home/apt,3,1,moderate,1,t,100,0,1,5.220355825,,,
Private room,2,1,moderate,1,t,97,1,1,4.59511985,,,
Private room,2,1,strict,1,f,94,1,1,5.293304825,,,
Private room,1,1,flexible,0,f,96,1,1,3.828641396,,,
Entire home/apt,4,1,flexible,0,t,100,0,2,5.783825182,,,
Private room,2,1,flexible,1,t,93,1,1,4.709530201,,,
Private room,2,1,flexible,1,f,96,1,1,4.477336814,,,
Private room,2,1,flexible,0,t,90,1,2,3.63758616,,,
Shared room,1,2,moderate,0,t,100,1,1,3.555348061,,,
Private room,2,1,strict,1,f,100,1,1,3.688879454,,,
Entire home/apt,2,1,moderate,1,t,100,0,1,4.65396035,,,
Private room,2,1.5,moderate,1,t,95,1,2,3.663561646,,,
Private room,2,1,strict,1,f,97,1,1,3.828641396,,,
Private room,1,1,flexible,0,f,96,1,1,5.081404365,,,
Entire home/apt,4,1,moderate,1,f,94,1,3,5.164785974,,,
Private room,2,1.5,strict,1,f,95,1,1,4.605170186,,,
Private room,2,1,flexible,0,t,94,1,1,4.369447852,,,
Private room,2,1,flexible,0,t,96,1,1,4.59511985,,,
Private room,1,1,strict,1,t,80,1,1,3.688879454,,,
Entire home/apt,4,1.5,flexible,1,f,96,2,2,5.703782475,,,
Private room,1,1,flexible,0,f,96,1,1,4.605170186,,,
Entire home/apt,6,1,moderate,1,f,99,1,3,4.912654886,,,
Private room,1,1,flexible,1,f,100,1,1,4.49980967,,,
Entire home/apt,4,1,flexible,1,t,95,1,1,4.442651256,,,
Entire home/apt,4,1,strict,1,f,98,1,1,4.828313737,,,
Private room,2,1.5,flexible,1,t,100,1,1,4.17438727,,,
Private room,2,1,flexible,1,t,93,1,1,4.605170186,,,
Entire home/apt,2,1,strict,0,f,95,0,1,4.941642423,,,
Private room,2,1,strict,1,f,95,1,1,4.248495242,,,
Private room,2,1.5,flexible,1,f,100,1,1,4.007333185,,,
Private room,1,1,flexible,1,f,96,1,1,3.496507561,,,
Entire home/apt,6,2,moderate,1,f,96,3,4,5.940171253,,,
Entire home/apt,2,1,flexible,1,f,100,1,1,5.393627546,,,
Private room,2,1,strict,1,t,90,1,1,4.007333185,,,
Entire home/apt,2,1,moderate,1,f,96,0,2,5.010635294,,,
Private room,2,1,flexible,1,f,96,1,1,4.007333185,,,
Private room,3,2,strict,0,t,92,1,1,3.912023005,,,
Private room,3,1,strict,1,t,88,1,2,4.605170186,,,
Shared room,4,1,flexible,1,f,100,1,4,3.36729583,,,
Entire home/apt,4,1,moderate,1,f,92,2,3,5.036952602,,,
Entire home/apt,8,2,strict,0,t,86,3,5,6.396929655,,,
Entire home/apt,2,1,strict,0,t,100,1,1,5.703782475,,,
Entire home/apt,4,1,moderate,1,f,96,3,5,4.442651256,,,
Entire home/apt,8,3.5,strict,1,f,100,3,3,7.569411792,,,
Entire home/apt,4,1,flexible,1,t,96,1,2,4.828313737,,,
Entire home/apt,4,1,strict,1,f,96,2,4,5.703782475,,,
Entire home/apt,2,1,strict,1,f,100,1,2,5.598421959,,,
Private room,2,1.5,moderate,0,f,96,4,1,4.356708827,,,
Private room,2,1,strict,0,f,83,1,1,4.700480366,,,
Entire home/apt,4,1,strict,1,t,87,0,2,4.442651256,,,
Entire home/apt,4,1,strict,0,f,96,1,2,6.396929655,,,
Private room,1,2,moderate,1,f,100,1,1,3.555348061,,,
Private room,2,2,strict,1,t,99,1,1,3.891820298,,,
Entire home/apt,6,1,strict,1,f,82,2,4,4.59511985,,,
Private room,3,1,flexible,1,f,78,1,1,4.317488114,,,
Entire home/apt,5,2,strict,1,f,96,2,2,5.834810737,,,
Private room,2,1,moderate,0,f,95,1,1,4.369447852,,,
Entire home/apt,4,1,flexible,0,f,88,1,2,5.010635294,,,
Entire home/apt,6,2,moderate,1,f,100,2,2,5.293304825,,,
Private room,1,1,moderate,1,f,93,1,1,3.496507561,,,
Entire home/apt,6,2,moderate,1,t,98,2,4,5.075173815,,,
Entire home/apt,6,1,moderate,1,f,96,2,3,4.934473933,,,
Entire home/apt,2,1,strict,0,f,95,1,1,5.164785974,,,
Entire home/apt,4,1,strict,1,t,100,1,2,4.859812404,,,
